path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,81,155,120,185,OSBS.01558
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,149,129,198,165,OSBS.01912
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,0,85,81,185,OSBS.01566
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,118,102,148,156,OSBS.01574
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,183,115,197,126,OSBS.01911
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,82,130,98,144,OSBS.01570
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,180,101,196,114,OSBS.01587
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,144,79,176,112,OSBS.01906
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,182,79,197,97,OSBS.01589
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,85,83,114,113,OSBS.01556
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,187,64,199,89,OSBS.01593
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,72,71,89,105,OSBS.01568
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,105,62,144,92,OSBS.01571
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,109,38,159,76,OSBS.01910
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,58,53,81,71,OSBS.01915
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,86,22,108,55,OSBS.01909
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,0,12,36,50,OSBS.01925
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_10_rgb.tif,6,0,47,21,OSBS.01921
