path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,139,0,195,17,OSBS.03835
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,24,0,65,28,OSBS.03839
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,90,9,118,38,OSBS.03834
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,124,11,199,88,OSBS.03836
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,64,12,79,29,OSBS.03833
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,3,22,25,54,OSBS.03842
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,33,29,59,46,OSBS.03838
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,104,63,118,75,OSBS.03837
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,62,57,91,89,OSBS.03852
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,32,54,60,70,OSBS.07992
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,3,53,10,73,OSBS.03844
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,9,56,29,84,OSBS.03847
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,32,71,57,97,OSBS.03848
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,132,89,200,151,OSBS.03855
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,2,94,19,131,OSBS.00050
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,23,102,84,165,OSBS.03849
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,76,113,91,126,OSBS.03851
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,94,120,119,147,OSBS.03853
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,80,127,90,139,OSBS.06075
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,12,172,55,198,OSBS.03860
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_48_rgb.tif,88,180,117,197,OSBS.03858
