path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,184,176,197,199,OSBS.03074
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,145,159,179,197,OSBS.03076
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,81,191,105,199,OSBS.03073
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,105,167,134,192,OSBS.03077
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,73,161,101,193,OSBS.03078
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,38,195,49,200,OSBS.03020
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,2,183,36,200,OSBS.03021
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,174,149,195,172,OSBS.03075
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,54,168,72,185,OSBS.03072
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,1,149,37,179,OSBS.03068
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,89,141,124,161,OSBS.03081
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,100,120,142,148,OSBS.03082
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,0,120,10,146,OSBS.03065
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,112,82,146,119,OSBS.03071
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,0,96,27,121,OSBS.03066
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,31,93,54,114,OSBS.03067
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,56,88,76,103,OSBS.03070
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,171,8,197,82,OSBS.03061
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,32,61,92,89,OSBS.03069
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,126,45,157,79,OSBS.03060
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,6,57,44,94,OSBS.03064
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,71,17,116,58,OSBS.03062
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_31_rgb.tif,1,29,42,52,OSBS.03063
