path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,169,108,195,122,OSBS.00436
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,36,94,118,122,OSBS.00437
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,144,103,196,111,OSBS.00345
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,150,88,194,100,OSBS.00432
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,110,88,140,102,OSBS.00433
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,6,106,31,117,OSBS.00438
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,8,95,31,105,OSBS.00441
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,108,50,196,79,OSBS.00431
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,45,76,90,90,OSBS.00439
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,2,94,15,101,OSBS.00442
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,25,50,80,71,OSBS.00430
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_45_rgb.tif,2,55,18,68,OSBS.00444
