path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,127,193,196,200,OSBS.03147
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,45,196,92,200,OSBS.00015
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,164,160,181,175,OSBS.03163
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,115,132,152,175,OSBS.03143
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,97,152,110,183,OSBS.03144
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,35,181,54,195,OSBS.03131
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,178,140,199,162,OSBS.03138
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,158,125,179,148,OSBS.03142
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,192,112,200,132,OSBS.03139
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,174,119,193,135,OSBS.03140
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,40,88,101,141,OSBS.03145
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,176,88,197,103,OSBS.03146
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,23,37,49,80,OSBS.03181
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_54_rgb.tif,52,0,123,36,OSBS.00020
