path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,172,3,192,24,OSBS.01371
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,119,0,147,15,OSBS.01373
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,159,38,186,61,OSBS.01369
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,136,47,159,71,OSBS.01364
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,113,48,136,66,OSBS.01365
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,150,70,186,114,OSBS.01363
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,44,168,81,198,OSBS.01331
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,105,145,151,185,OSBS.01345
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,153,145,192,180,OSBS.01352
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,79,115,121,158,OSBS.01342
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,138,112,162,144,OSBS.01358
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,127,119,136,131,OSBS.01343
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,114,91,149,118,OSBS.01340
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,16,74,67,125,OSBS.01507
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_8_rgb.tif,47,52,102,100,OSBS.01508
