path,xmin,ymin,xmax,ymax,label
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,142,177,167,199,OSBS.03705
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,71,175,122,200,OSBS.03707
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,122,154,162,185,OSBS.03706
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,27,146,77,194,OSBS.03708
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,1,167,50,200,OSBS.03712
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,165,137,192,169,OSBS.00026
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,4,126,49,155,OSBS.03710
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,18,107,40,125,OSBS.03720
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,0,50,25,116,OSBS.03721
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,165,34,198,83,OSBS.03703
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,9,36,56,76,OSBS.03722
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,0,0,28,44,OSBS.03724
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,28,2,42,23,OSBS.03725
/Users/sergiomarconi/Documents/GitHub/Chapter3a/convnets_data/retinanet/dataset/images/simplot_18_rgb.tif,2,163,30,166,OSBS.03709
